epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,140.98,0.42634,0.42741,0.85919,0.94134,0.9681,0.995,0.82077,0.72544,0.37473,1.04565,0.000137728,0.000137728,0.000137728
142,141.897,0.43012,0.44481,0.85963,0.92707,0.96995,0.995,0.83214,0.72476,0.3736,1.04591,0.000136883,0.000136883,0.000136883
143,142.794,0.43554,0.48432,0.87991,0.93059,0.96845,0.995,0.82741,0.71488,0.37539,1.04396,0.000136038,0.000136038,0.000136038
144,143.716,0.41524,0.42504,0.85179,0.92855,0.98294,0.995,0.82394,0.73414,0.37731,1.06815,0.000135194,0.000135194,0.000135194
145,144.644,0.41773,0.41925,0.84541,0.95193,0.95938,0.995,0.81828,0.76515,0.38397,1.10552,0.000134349,0.000134349,0.000134349
146,145.559,0.42656,0.43024,0.85671,0.96298,0.96353,0.995,0.82154,0.73378,0.37939,1.0714,0.000133504,0.000133504,0.000133504
147,146.469,0.4147,0.46913,0.84333,0.96228,0.96317,0.995,0.84856,0.69894,0.36099,1.04136,0.000132659,0.000132659,0.000132659
148,147.402,0.41527,0.43185,0.85188,0.95571,0.96249,0.995,0.84316,0.68889,0.36092,1.03521,0.000131814,0.000131814,0.000131814
149,148.34,0.41885,0.47493,0.85046,0.95525,0.95725,0.995,0.8467,0.71313,0.36819,1.0598,0.00013097,0.00013097,0.00013097
150,149.314,0.3998,0.4357,0.87026,0.94878,0.96062,0.995,0.83372,0.71742,0.36325,1.06645,0.000130125,0.000130125,0.000130125
151,150.287,0.42019,0.40217,0.85797,0.95904,0.95958,0.995,0.839,0.71669,0.36669,1.0691,0.00012928,0.00012928,0.00012928
152,151.288,0.41687,0.46971,0.87823,0.96306,0.95877,0.995,0.84783,0.67736,0.35858,1.02565,0.000128435,0.000128435,0.000128435
153,152.327,0.41084,0.44344,0.84091,0.95666,0.95865,0.995,0.84814,0.6677,0.35283,1.00353,0.00012759,0.00012759,0.00012759
154,153.352,0.41751,0.46038,0.84888,0.96382,0.96164,0.995,0.8525,0.66028,0.35413,0.99705,0.000126746,0.000126746,0.000126746
155,154.447,0.38604,0.38026,0.85154,0.96661,0.96826,0.995,0.83961,0.68148,0.34676,1.01335,0.000125901,0.000125901,0.000125901
156,155.663,0.38752,0.4066,0.84501,0.96388,0.97446,0.995,0.83846,0.69227,0.34731,1.02977,0.000125056,0.000125056,0.000125056
157,156.696,0.40429,0.41221,0.87336,0.97009,0.96566,0.995,0.84072,0.70387,0.34909,1.04279,0.000124211,0.000124211,0.000124211
158,157.681,0.41077,0.42666,0.84449,0.97176,0.96145,0.995,0.82426,0.73612,0.36036,1.07142,0.000123366,0.000123366,0.000123366
159,158.612,0.42291,0.45585,0.85547,0.9693,0.96191,0.995,0.81923,0.74724,0.36831,1.07673,0.000122522,0.000122522,0.000122522
160,159.556,0.4073,0.46339,0.85035,0.96771,0.96202,0.995,0.83497,0.72004,0.35929,1.04439,0.000121677,0.000121677,0.000121677
161,160.589,0.39658,0.43407,0.87452,0.96742,0.96218,0.995,0.83543,0.68307,0.34364,1.00068,0.000120832,0.000120832,0.000120832
162,161.659,0.39745,0.41528,0.8637,0.96252,0.9639,0.995,0.83573,0.67047,0.33892,0.9889,0.000119987,0.000119987,0.000119987
163,162.78,0.423,0.42914,0.85429,0.95002,0.96565,0.995,0.84375,0.68438,0.3442,1.00202,0.000119142,0.000119142,0.000119142
164,163.727,0.40285,0.43213,0.83825,0.93524,0.97096,0.995,0.82822,0.73652,0.35795,1.04286,0.000118298,0.000118298,0.000118298
165,164.666,0.39409,0.3847,0.85081,0.92281,0.97911,0.995,0.8148,0.75984,0.37123,1.06381,0.000117453,0.000117453,0.000117453
166,165.606,0.41231,0.45079,0.84974,0.92952,0.97213,0.995,0.81867,0.74588,0.36578,1.06218,0.000116608,0.000116608,0.000116608
167,166.696,0.40366,0.40203,0.86223,0.94197,0.9682,0.995,0.82908,0.71161,0.36073,1.03579,0.000115763,0.000115763,0.000115763
168,167.857,0.4082,0.3962,0.85252,0.95177,0.96297,0.995,0.84252,0.70031,0.35824,1.02599,0.000114918,0.000114918,0.000114918
169,168.915,0.39919,0.45634,0.84532,0.95773,0.95773,0.995,0.84418,0.70716,0.35445,1.03683,0.000114074,0.000114074,0.000114074
170,169.896,0.4105,0.45133,0.85691,0.95528,0.95811,0.995,0.84284,0.72599,0.3539,1.05772,0.000113229,0.000113229,0.000113229
171,170.988,0.40042,0.4644,0.84746,0.95236,0.95927,0.995,0.84018,0.73645,0.35249,1.0642,0.000112384,0.000112384,0.000112384
172,171.972,0.40712,0.40267,0.84659,0.95332,0.96048,0.995,0.85728,0.70561,0.34436,1.03109,0.000111539,0.000111539,0.000111539
173,172.964,0.39813,0.44266,0.84386,0.95913,0.95334,0.995,0.85189,0.66511,0.34448,0.98902,0.000110694,0.000110694,0.000110694
174,173.962,0.38019,0.40393,0.84172,0.94894,0.96483,0.995,0.86097,0.64457,0.33929,0.97236,0.00010985,0.00010985,0.00010985
175,174.94,0.39753,0.44039,0.83572,0.93994,0.98042,0.995,0.85698,0.65955,0.34379,0.98732,0.000109005,0.000109005,0.000109005
176,175.927,0.37903,0.41133,0.84493,0.93998,0.99,0.995,0.84008,0.69385,0.34627,1.01386,0.00010816,0.00010816,0.00010816
177,176.882,0.38634,0.39725,0.86277,0.94283,0.98229,0.995,0.83237,0.71548,0.34976,1.03475,0.000107315,0.000107315,0.000107315
178,177.8,0.38375,0.36906,0.84548,0.94799,0.97606,0.995,0.83394,0.71273,0.34589,1.0367,0.00010647,0.00010647,0.00010647
179,178.775,0.38151,0.39474,0.848,0.94459,0.9807,0.995,0.83788,0.69834,0.34357,1.03025,0.000105626,0.000105626,0.000105626
180,179.701,0.39464,0.40282,0.84424,0.94332,0.99051,0.995,0.8442,0.7053,0.33849,1.03959,0.000104781,0.000104781,0.000104781
